rank,player,time
593,stevenh1156,57.848
594,LoKiSOL,57.956
595,"HAGEN
renatohagen",58.046
596,Cabbann,58.087
597,H4Lwesje,58.156
598,"TACO
NuclearTacoTT1",58.244
599,DeathBringer804,58.451
600,MutantTreestump,58.538
601,"VIBE
Scouter_715",58.648
602,kb3za,58.754
603,apschlup,58.779
604,ckclonghorns,58.824
605,"TOPX
GamingMasterN0t",58.875
606,grimslasher1251,59.199
607,Wirtualbeans,59.246
608,Nawtiq,59.279
609,OP_TM,59.309
610,guest-G3hIVhBb,59.399
611,ABurningOrphan,59.507
612,Penguinaccord,59.562
613,BobEntropy,59.704
614,Sadderdxys,59.88
615,Jaminalldaylong,59.921
616,Madmax__32,59.945
617,UppedHealer8521,60.103
618,Infinzxt,60.115
619,acward98,60.335
620,"INS
ins_chumazeg",60.505
621,mblgamer632,60.645
622,Will2Will77,60.695
623,jodemi13,60.85
624,"TILT
DJ_JoSway",61.154
625,nonamergam3r,61.202
626,uawhite3429,61.289
627,Abaddon_-_-,61.563
628,LochWesMonsters,61.579
629,fredward1115,61.787
630,BJR2011,62.893
631,TuS1905Ramsen,62.949
632,chargerguru123,62.951
633,"VIBE
Racequit",63.448
634,Rarded_Raugy,63.476
635,JamesKPolk11,63.818
636,guest-P9ajBnHH,63.835
637,LimaDeltaRomeo,66.909
638,simonlongpre,66.959
639,Dam_Dead,68.133
640,"VIBE
FallDonovan",69.896
641,DunnyO,70.755
642,Sikdawg_,70.827
643,"INS
Ins_RobMaMaRe",73.055
644,DaniWolf247,74.8
645,FoleyTS,83.524
